station_origin,station_destination,flows,population,jobs,distance
Old Street,Mansion House,1,5364,7815,2207.840602
Covent Garden,King's Cross St. Pancras,52,424,33330,2209.875591
King's Cross St. Pancras,Covent Garden,413,28307,4355,2209.875591
Holland Park,White City,10,1542,5966,2212.180515
White City,Holland Park,24,2445,2063,2212.180515
Earl's Court,Parsons Green,51,8414,2711,2212.4894
Parsons Green,Earl's Court,48,4361,6613,2212.4894
Marble Arch,Regent's Park,1,1808,3364,2215.827428
Regent's Park,Marble Arch,1,371,6145,2215.827428
Chalk Farm,Hampstead,38,2391,2010,2216.104044
Hampstead,Chalk Farm,15,1914,1329,2216.104044
Deptford Bridge,Island Gardens,37,2486,691,2216.108882
Island Gardens,Deptford Bridge,35,1413,840,2216.108882
Moor Park,Northwood,21,648,1018,2218.299112
Northwood,Moor Park,46,2027,550,2218.299112
Angel,Euston Square,2,4199,8093,2219.7974
Euston Square,Angel,1,4926,8103,2219.7974
Oxford Circus,Victoria,318,2784,33251,2220.166284
Victoria,Oxford Circus,5181,37517,44368,2220.166284
Southwark,Temple,21,4882,6780,2220.449264
Temple,Southwark,0,349,10326,2220.449264
Bow Road,West Ham,34,4005,5487,2221.015452
West Ham,Bow Road,46,8879,1193,2221.015452
Brondesbury Park,Finchley Road & Frognal,47,691,1529,2222.077437
Finchley Road & Frognal,Brondesbury Park,28,1136,895,2222.077437
Bank and Monument,Elephant & Castle,172,29494,6427,2222.462391
Elephant & Castle,Bank and Monument,329,9325,78549,2222.462391
Acton Town,Turnham Green,20,3745,1515,2222.542223
Turnham Green,Acton Town,6,3650,2202,2222.542223
Hounslow East,Hounslow West,5,2173,401,2224.768075
Hounslow West,Hounslow East,30,2073,843,2224.768075
Charing Cross,Warren Street,569,6491,17309,2225.060567
Warren Street,Charing Cross,56,1913,7016,2225.060567
Vauxhall,Victoria,829,16218,33251,2225.206404
Victoria,Vauxhall,1154,37517,16242,2225.206404
Bond Street,Holborn,62,2038,22346,2225.704528
Holborn,Bond Street,46,1662,20967,2225.704528
Elephant & Castle,Southwark,1,9325,10326,2225.836268
Southwark,Elephant & Castle,1,4882,6427,2225.836268
Piccadilly Circus,St. James's Park,1,1037,13339,2226.653144
St. James's Park,Piccadilly Circus,4,1809,13641,2226.653144
Leicester Square,Southwark,4,985,10326,2228.260899
Southwark,Leicester Square,9,4882,8847,2228.260899
South Kensington,West Brompton,20,5030,5859,2228.843885
West Brompton,South Kensington,106,3831,15325,2228.843885
Abbey Road,Canning Town,37,599,15428,2228.923167
Canning Town,Abbey Road,5,21125,345,2228.923167
Heron Quays,Limehouse,61,1788,2969,2229.389218
Limehouse,Heron Quays,357,5348,5975,2229.389218
Hanger Lane,Perivale,14,1996,532,2229.885215
Perivale,Hanger Lane,35,1624,1493,2229.885215
Clapham North,Oval,15,2846,2544,2236.326417
Oval,Clapham North,15,3619,1238,2236.326417
Chancery Lane,Oxford Circus,88,1148,44368,2236.847676
Oxford Circus,Chancery Lane,75,2784,15391,2236.847676
Camden Town,King's Cross St. Pancras,59,3330,33330,2236.968484
King's Cross St. Pancras,Camden Town,225,28307,6348,2236.968484
Borough,Tower Hill,4,1346,8286,2241.052682
Tower Hill,Borough,9,8501,3254,2241.052682
Borough,Liverpool Street,19,1346,61122,2242.824922
Liverpool Street,Borough,51,31473,3254,2242.824922
High Street Kensington,West Kensington,1,2159,1345,2244.925405
West Kensington,High Street Kensington,17,2715,5427,2244.925405
Bayswater,Lancaster Gate,0,1571,1820,2246.520793
Lancaster Gate,Bayswater,0,3514,615,2246.520793
Queensway,Shepherd's Bush,37,2714,9890,2249.735815
Shepherd's Bush,Queensway,36,10511,1882,2249.735815
Bond Street,Euston,5,2038,16800,2250.256214
Euston,Bond Street,70,17796,20967,2250.256214
Borough,St. Paul's,3,1346,13446,2250.847079
St. Paul's,Borough,0,878,3254,2250.847079
Upton Park,West Ham,426,5963,5487,2250.914137
West Ham,Upton Park,91,8879,1642,2250.914137
Aldgate East,Old Street,7,3172,15897,2253.473134
Old Street,Aldgate East,5,5364,7932,2253.473134
Forest Gate,Stratford,1384,2405,55954,2255.063791
Stratford,Forest Gate,400,59311,816,2255.063791
Lambeth North,Piccadilly Circus,67,1114,13641,2255.256648
Piccadilly Circus,Lambeth North,5,1037,1319,2255.256648
Aldgate East,Mansion House,80,3172,7815,2256.45585
Mansion House,Aldgate East,6,516,7932,2256.45585
Bond Street,Covent Garden,3,2038,4355,2258.393345
Covent Garden,Bond Street,3,424,20967,2258.393345
Earl's Court,Notting Hill Gate,74,8414,5490,2261.505646
Notting Hill Gate,Earl's Court,38,4945,6613,2261.505646
Chadwell Heath,Seven Kings,29,3912,559,2267.928088
Seven Kings,Chadwell Heath,9,3300,561,2267.928088
Heron Quays,Island Gardens,48,1788,691,2268.210163
Island Gardens,Heron Quays,203,1413,5975,2268.210163
Borough,Waterloo,22,1346,23466,2269.369882
Waterloo,Borough,49,67372,3254,2269.369882
Canning Town,Poplar,73,21125,1301,2269.484262
Poplar,Canning Town,192,2271,15428,2269.484262
Chiswick Park,Ravenscourt Park,21,1283,1895,2269.951745
Ravenscourt Park,Chiswick Park,8,1554,1517,2269.951745
Hoxton,Whitechapel,283,1041,17633,2271.073846
Whitechapel,Hoxton,465,12281,2181,2271.073846
Chalk Farm,Kentish Town,8,2391,3404,2271.74279
Kentish Town,Chalk Farm,4,2414,1329,2271.74279
Cannon Street,Chancery Lane,1,3874,15391,2273.988754
Chancery Lane,Cannon Street,0,1148,4698,2273.988754
Green Park,Waterloo,46,2066,23466,2274.140221
Waterloo,Green Park,1389,67372,26754,2274.140221
Cannon Street,Farringdon,15,3874,25592,2274.340487
Farringdon,Cannon Street,7,5052,4698,2274.340487
Russell Square,Warren Street,0,1509,17309,2280.07158
Warren Street,Russell Square,0,1913,5172,2280.07158
Bond Street,Marylebone,5,2038,4250,2282.576557
Marylebone,Bond Street,44,6125,20967,2282.576557
South Kenton,Wembley Central,131,1073,1327,2283.901613
Wembley Central,South Kenton,75,2246,261,2283.901613
Gidea Park,Harold Wood,8,3409,530,2284.640937
Harold Wood,Gidea Park,7,2987,299,2284.640937
Ravenscourt Park,Shepherd's Bush Market,0,1554,416,2284.981676
Shepherd's Bush Market,Ravenscourt Park,0,1798,1895,2284.981676
Aldgate,St. Paul's,4,2886,13446,2286.442081
St. Paul's,Aldgate,1,878,7782,2286.442081
Shadwell,Shoreditch High Street,935,6741,7558,2290.165313
Shoreditch High Street,Shadwell,200,930,7447,2290.165313
Blackhorse Road,South Tottenham,9,8485,552,2291.139921
South Tottenham,Blackhorse Road,5,420,2955,2291.139921
Covent Garden,St. Paul's,3,424,13446,2293.575481
St. Paul's,Covent Garden,1,878,4355,2293.575481
Shadwell,Surrey Quays,25,6741,1005,2294.105268
Surrey Quays,Shadwell,64,3443,7447,2294.105268
Dagenham East,Elm Park,16,1924,269,2295.788356
Elm Park,Dagenham East,33,2738,649,2295.788356
Ravenscourt Park,West Kensington,16,1554,1345,2297.611149
West Kensington,Ravenscourt Park,36,2715,1895,2297.611149
Covent Garden,Hyde Park Corner,5,424,2410,2297.738092
Hyde Park Corner,Covent Garden,7,259,4355,2297.738092
Fairlop,Newbury Park,11,995,559,2299.284258
Newbury Park,Fairlop,34,4212,182,2299.284258
Blackfriars,Westminster,515,6781,15466,2300.399346
Westminster,Blackfriars,62,1519,10849,2300.399346
Chiswick Park,Ealing Common,13,1283,915,2301.567636
Ealing Common,Chiswick Park,50,2003,1517,2301.567636
Euston,Leicester Square,285,17796,8847,2309.186952
Leicester Square,Euston,28,985,16800,2309.186952
Pudding Mill Lane,Abbey Road,0,432,345,2311.544632
Marylebone,Oxford Circus,479,6125,44368,2311.889003
Oxford Circus,Marylebone,29,2784,4250,2311.889003
Blackwall,South Quay,1,952,4591,2314.279184
South Quay,Blackwall,1,1677,665,2314.279184
Southwark,Cannon Street,0,4882,4698,2314.390172
Blackfriars,Waterloo,22,6781,23466,2316.063134
Waterloo,Blackfriars,398,67372,10849,2316.063134
Leicester Square,Regent's Park,0,985,3364,2316.572108
Regent's Park,Leicester Square,0,371,8847,2316.572108
New Cross,Surrey Quays,21,1440,1005,2316.997521
Surrey Quays,New Cross,61,3443,1027,2316.997521
Bank and Monument,Shadwell,430,29494,7447,2317.101464
Shadwell,Bank and Monument,1226,6741,78549,2317.101464
Barbican,King's Cross St. Pancras,69,1239,33330,2318.908381
King's Cross St. Pancras,Barbican,510,28307,9134,2318.908381
Manor House,Turnpike Lane,34,5459,992,2321.659358
Turnpike Lane,Manor House,69,6690,1311,2321.659358
Kenton,North Wembley,21,1049,365,2322.714401
North Wembley,Kenton,38,1087,768,2322.714401
Aldgate,London Bridge,2,2886,29930,2323.645612
London Bridge,Aldgate,20,32597,7782,2323.645612
Barbican,Tower Hill,16,1239,8286,2323.848271
Tower Hill,Barbican,120,8501,9134,2323.848271
Northolt,South Ruislip,37,3585,289,2323.990521
South Ruislip,Northolt,31,1398,663,2323.990521
Marylebone,Warwick Avenue,21,6125,1174,2324.14056
Warwick Avenue,Marylebone,36,2388,4250,2324.14056
Aldgate,Farringdon,677,2886,25592,2324.369841
Farringdon,Aldgate,340,5052,7782,2324.369841
Dalston Kingsland,Homerton,53,2890,1998,2325.371791
Homerton,Dalston Kingsland,99,3501,2091,2325.371791
Lambeth North,London Bridge,13,1114,29930,2328.465071
London Bridge,Lambeth North,13,32597,1319,2328.465071
Marylebone,Royal Oak,0,6125,856,2328.811132
Royal Oak,Marylebone,1,1409,4250,2328.811132
Pimlico,Stockwell,13,3917,1623,2332.183963
Stockwell,Pimlico,100,10667,5585,2332.183963
Buckhurst Hill,Woodford,21,1616,706,2333.609346
Woodford,Buckhurst Hill,15,4868,228,2333.609346
Barbican,St. Paul's,0,1239,13446,2333.642669
St. Paul's,Barbican,0,878,9134,2333.642669
Seven Sisters,Stoke Newington,43,18780,479,2336.553488
Stoke Newington,Seven Sisters,277,1096,10191,2336.553488
Piccadilly Circus,Southwark,5,1037,10326,2337.994522
Southwark,Piccadilly Circus,12,4882,13641,2337.994522
St James Street,Wood Street,24,1048,404,2338.405888
Wood Street,St James Street,20,1367,184,2338.405888
Barons Court,Shepherd's Bush Market,2,4052,416,2338.710844
Shepherd's Bush Market,Barons Court,3,1798,2956,2338.710844
Elephant & Castle,Embankment,95,9325,10220,2338.837671
Embankment,Elephant & Castle,11,4081,6427,2338.837671
South Kensington,Victoria,82,5030,33251,2338.981385
Victoria,South Kensington,775,37517,15325,2338.981385
Theobalds Grove,Turkey Street,13,523,458,2339.842151
Turkey Street,Theobalds Grove,23,801,182,2339.842151
All Saints,South Quay,12,740,4591,2343.302569
South Quay,All Saints,12,1677,444,2343.302569
Dalston Junction,Highbury & Islington,880,3912,25385,2344.978414
Highbury & Islington,Dalston Junction,361,23714,1289,2344.978414
Blackfriars,Leicester Square,16,6781,8847,2349.040439
Leicester Square,Blackfriars,3,985,10849,2349.040439
Neasden,Wembley Park,77,2333,5759,2353.165938
Wembley Park,Neasden,37,7070,732,2353.165938
Colliers Wood,Tooting Bec,92,5553,1239,2355.381126
Tooting Bec,Colliers Wood,32,6734,865,2355.381126
Gants Hill,Newbury Park,16,5243,559,2357.757121
Newbury Park,Gants Hill,26,4212,601,2357.757121
Bond Street,Victoria,34,2038,33251,2358.512122
Victoria,Bond Street,365,37517,20967,2358.512122
South Wimbledon,Tooting Broadway,159,3783,4506,2358.88782
Tooting Broadway,South Wimbledon,160,9546,1361,2358.88782
Finchley Road & Frognal,Gospel Oak,124,1136,2025,2359.093749
Gospel Oak,Finchley Road & Frognal,103,1085,1529,2359.093749
Bayswater,Shepherd's Bush,0,1571,9890,2361.461125
Shepherd's Bush,Bayswater,1,10511,615,2361.461125
Leicester Square,Victoria,25,985,33251,2361.917301
Victoria,Leicester Square,165,37517,8847,2361.917301
Moorgate,Whitechapel,22,4416,17633,2363.287484
Whitechapel,Moorgate,109,12281,24574,2363.287484
Chancery Lane,Embankment,0,1148,10220,2366.36122
Embankment,Chancery Lane,2,4081,15391,2366.36122
Russell Square,St. Paul's,36,1509,13446,2367.069225
St. Paul's,Russell Square,1,878,5172,2367.069225
Chalk Farm,Euston,65,2391,16800,2367.375957
Euston,Chalk Farm,24,17796,1329,2367.375957
East Finchley,Finchley Central,93,5840,1921,2370.556545
Finchley Central,East Finchley,126,6268,1253,2370.556545
Barbican,London Bridge,8,1239,29930,2370.846199
London Bridge,Barbican,56,32597,9134,2370.846199
St. John's Wood,West Hampstead,44,3240,5856,2371.027562
West Hampstead,St. John's Wood,167,10371,3982,2371.027562
Devons Road,West India Quay,16,1387,400,2371.617307
West India Quay,Devons Road,1,162,611,2371.617307
East India,Langdon Park,8,1760,1989,2372.6717
Langdon Park,East India,3,1468,1522,2372.6717
King's Cross St. Pancras,Tottenham Court Road,110,28307,19126,2373.996678
Tottenham Court Road,King's Cross St. Pancras,15,1773,33330,2373.996678
Angel,Moorgate,192,4199,24574,2374.174479
Moorgate,Angel,91,4416,8103,2374.174479
Knightsbridge,Oxford Circus,23,1125,44368,2374.409364
Oxford Circus,Knightsbridge,13,2784,6821,2374.409364
Green Park,Sloane Square,8,2066,8229,2375.358822
Sloane Square,Green Park,42,4957,26754,2375.358822
Oxford Circus,Russell Square,1,2784,5172,2377.798278
Russell Square,Oxford Circus,16,1509,44368,2377.798278
Hackney Central,Hackney Wick,40,3370,1263,2378.96593
Hackney Wick,Hackney Central,38,1477,2440,2378.96593
Blackwall,Limehouse,24,952,2969,2379.089009
Limehouse,Blackwall,46,5348,665,2379.089009
Goodge Street,Green Park,1,366,26754,2382.730233
Green Park,Goodge Street,2,2066,6457,2382.730233
Golders Green,Hampstead,279,4792,2010,2385.725907
Hampstead,Golders Green,50,1914,1871,2385.725907
Marble Arch,Warren Street,6,1808,17309,2387.491246
Warren Street,Marble Arch,4,1913,6145,2387.491246
Queens Road Peckham,Surrey Quays,2,1932,1005,2392.258374
Surrey Quays,Queens Road Peckham,34,3443,747,2392.258374
Mudchute,West India Quay,2,1355,400,2393.575358
West India Quay,Mudchute,5,162,302,2393.575358
Edmonton Green,White Hart Lane,16,2079,641,2398.376035
White Hart Lane,Edmonton Green,4,1032,783,2398.376035
Earl's Court,Hammersmith,305,8414,18250,2398.630151
Hammersmith,Earl's Court,163,11818,6613,2398.630151
Aldgate,Whitechapel,2,2886,17633,2399.75485
Whitechapel,Aldgate,12,12281,7782,2399.75485
Rotherhithe,Whitechapel,427,1589,17633,2403.678422
Whitechapel,Rotherhithe,41,12281,321,2403.678422
Canning Town,Pontoon Dock,253,21125,1123,2407.170951
Pontoon Dock,Canning Town,557,2012,15428,2407.170951
All Saints,Limehouse,4,740,2969,2408.112394
Limehouse,All Saints,2,5348,444,2408.112394
Bethnal Green,Liverpool Street,293,6798,61122,2408.292002
Liverpool Street,Bethnal Green,229,31473,4660,2408.292002
Hatton Cross,Heathrow Terminals 2 & 3,87,1357,2406,2412.750946
Heathrow Terminals 2 & 3,Hatton Cross,51,2199,1219,2412.750946
Bruce Grove,Silver Street,11,961,953,2413.345247
Silver Street,Bruce Grove,13,1625,350,2413.345247
Blackwall,Star Lane,3,952,1052,2413.524896
Star Lane,Blackwall,0,438,665,2413.524896
Cutty Sark,South Quay,105,2122,4591,2414.170853
South Quay,Cutty Sark,34,1677,1748,2414.170853
Barons Court,Gloucester Road,77,4052,5194,2414.919279
Gloucester Road,Barons Court,24,4779,2956,2414.919279
Kennington,Southwark,2,3583,10326,2416.625446
Southwark,Kennington,3,4882,1161,2416.625446
Kilburn,Swiss Cottage,97,4630,2598,2416.708876
Swiss Cottage,Kilburn,29,3531,1953,2416.708876
Clapton,London Fields,0,1500,790,2419.129825
Elephant & Castle,Westminster,13,9325,15466,2419.769365
Westminster,Elephant & Castle,1,1519,6427,2419.769365
Fulham Broadway,Gloucester Road,29,3289,5194,2420.272282
Gloucester Road,Fulham Broadway,31,4779,4200,2420.272282
Barking,East Ham,206,8200,2062,2422.294927
East Ham,Barking,433,7902,7004,2422.294927
Totteridge & Whetstone,West Finchley,6,2301,91,2423.576044
West Finchley,Totteridge & Whetstone,17,1550,287,2423.576044
Balham,Clapham Common,110,9619,2020,2424.952834
Clapham Common,Balham,124,4909,3814,2424.952834
Baker Street,Marble Arch,4,7444,6145,2427.714465
Marble Arch,Baker Street,3,1808,14973,2427.714465
King George V,Woolwich Arsenal,192,969,4428,2429.275743
Woolwich Arsenal,King George V,210,7892,800,2429.275743
Bond Street,Embankment,1,2038,10220,2430.3099
Embankment,Bond Street,7,4081,20967,2430.3099
Dollis Hill,Kilburn,102,2542,1953,2431.167312
Kilburn,Dollis Hill,20,4630,847,2431.167312
Charing Cross,Victoria,9,6491,33251,2432.1503
Victoria,Charing Cross,21,37517,7016,2432.1503
Oxford Circus,Westminster,6,2784,15466,2434.34667
Westminster,Oxford Circus,6,1519,44368,2434.34667
Latimer Road,Royal Oak,6,861,856,2434.924708
Royal Oak,Latimer Road,13,1409,1109,2434.924708
Bounds Green,Turnpike Lane,54,4445,992,2436.26354
Turnpike Lane,Bounds Green,57,6690,778,2436.26354
Euston,Holborn,78,17796,22346,2440.304694
Holborn,Euston,5,1662,16800,2440.304694
Barons Court,Stamford Brook,10,4052,784,2443.224558
Stamford Brook,Barons Court,15,1837,2956,2443.224558
Carpenders Park,Hatch End,19,1329,93,2443.342297
Hatch End,Carpenders Park,6,848,340,2443.342297
Euston Square,Warren Street,0,4926,17309,2449.049555
Warren Street,Euston Square,0,1913,8093,2449.049555
Kensal Green,Kilburn High Road,11,1849,266,2449.12881
Kilburn High Road,Kensal Green,2,345,472,2449.12881
Queen's Park,Warwick Avenue,94,5249,1174,2449.225044
Warwick Avenue,Queen's Park,24,2388,2167,2449.225044
Crossharbour,Greenwich,28,1724,1189,2451.065781
Greenwich,Crossharbour,51,1374,1208,2451.065781
Camden Town,Goodge Street,56,3330,6457,2452.373021
Goodge Street,Camden Town,10,366,6348,2452.373021
Fulham Broadway,West Kensington,0,3289,1345,2454.216362
West Kensington,Fulham Broadway,3,2715,4200,2454.216362
Hanger Lane,North Acton,35,1996,3168,2454.293349
North Acton,Hanger Lane,18,3078,1493,2454.293349
Chigwell,Hainault,0,471,356,2454.561341
Hainault,Chigwell,7,3117,148,2454.561341
Cannon Street,Embankment,134,3874,10220,2455.077804
Embankment,Cannon Street,87,4081,4698,2455.077804
Heathrow Terminal 5,Heathrow Terminals 2 & 3,60,938,2406,2455.278476
Heathrow Terminals 2 & 3,Heathrow Terminal 5,62,2199,975,2455.278476
Lancaster Gate,Oxford Circus,135,3514,44368,2456.378985
Oxford Circus,Lancaster Gate,6,2784,1820,2456.378985
Gloucester Road,Kensington,0,4779,2252,2456.81239
Kensington,Gloucester Road,0,432,5194,2456.81239
High Street Kensington,Lancaster Gate,1,2159,1820,2457.118087
Lancaster Gate,High Street Kensington,3,3514,5427,2457.118087
Bruce Grove,Stamford Hill,15,961,352,2457.353453
Stamford Hill,Bruce Grove,4,491,350,2457.353453
St. Paul's,Tottenham Court Road,70,878,19126,2457.696567
Tottenham Court Road,St. Paul's,103,1773,13446,2457.696567
Pudding Mill Lane,Stratford International,1,432,1546,2458.101374
Stratford International,Pudding Mill Lane,0,2287,431,2458.101374
Blackfriars,Piccadilly Circus,29,6781,13641,2458.774062
Piccadilly Circus,Blackfriars,8,1037,10849,2458.774062
